"__uid","__parent_uid","language_code","language_name","language_alternateNames","language_dialects","language_status","language_notes","__display_name","language_code2","language_printName","__record_type","language_openTypeTags","language_sortName","language_retired","language_inEthnologue","language_subjectTabFlags","language_localNames"
"a276ah89a8","","smn","Saami, Inari","Anar, Anarâškielâ, Inari Sami, Saam, Saame, Samic, Sámi","","L","","Saami, Inari [smn]","","Inari Saami","micro","ISM","Saami, Inari","","1","87","Anarâškielâ"
"33bfhhbhcd","","smo","Samoan","Gagana Samoa","","L","","Samoan [smo]","sm","Samoan","micro","SMO","Samoan","","1","83","Gagana Samoa"
"792d3c9hg4","","smp","Samaritan Hebrew","Samaritan, Shamerim","","X","","Samaritan Hebrew [smp]","","Samaritan Hebrew","micro","","Samaritan Hebrew","","1","67",""
"g83d6bbbfa","","smq","Samo","Daba, Nomad, Samon, Supei","","L","","Samo [smq]","","Samo","micro","","Samo","","1","67","Samon"
"g64cd5527e","","smr","Simeulue","Defayan, Long Bano, Simalur, Simeuloë, Simulul","","L","","Simeulue [smr]","","Simeulue","micro","","Simeulue","","1","67",""
"2hf2he6g9c","","sms","Saami, Skolt","Kolta, Koltta, Lopar, Nuõrttsääʹmǩiõll, Saam, Saame, Saami, Same, Skolt, Skolt Sami, Sääʹmǩiõll","","L","","Saami, Skolt [sms]","","Skolt Saami","micro","SKS","Saami, Skolt","","1","87","Sääʹmǩiõll"
"4ce93242ag","","smt","Simte","","","L","","Simte [smt]","","Simte","micro","","Simte","","1","67","Simte"
"5g4hh96aeh","","smu","Somray","","","X","","Somray [smu]","","Somray","micro","","Somray","","1","67",""
"3ed68d5457","","smv","Samvedi","Kadodi","","L","","Samvedi [smv]","","Samvedi","micro","","Samvedi","","1","67",""
"b8f5bd4hh4","","smw","Sumbawa","Semawa, Sumbawarese","","L","","Sumbawa [smw]","","Sumbawa","micro","","Sumbawa","","1","67",""
"3h75eaa9be","","smx","Samba","Saamba, Shankadi, Tsaam, Tsamba, Usamba","","L","","Samba [smx]","","Samba","micro","","Samba","","1","67",""
"bd76633c5c","","smy","Semnani","Simnani","","L","","Semnani [smy]","","Semnani","micro","","Semnani","","1","83","سمنی زفون"
"b533hdadhc","","smz","Simeku","","","L","","Simeku [smz]","","Simeku","micro","","Simeku","","1","67",""
"3bfba69ec6","","sna","Shona","Chishona, Zezuru, chiShona","","L","","Shona [sna]","sn","Shona","micro","","Shona","","1","83","Chishona"
"fbeeedh8g4","","snb","Sebuyau","Sabuyan, Sabuyau, Sibuian, Sibuyan, Sibuyau","","R","","Sebuyau [snb]","","Sebuyau","micro","","Sebuyau","It has been merged with {link:page.php?item_id=language_detail&key=iba iba}.","1","67",""
"4hb738d85g","","snc","Sinaugoro","Sinagoro","","L","","Sinaugoro [snc]","","Sinaugoro","micro","","Sinaugoro","","1","83","Sinaugoro"
"83c435cdc8","","snd","Sindhi","","","L","","Sindhi [snd]","sd","Sindhi","micro","SND","Sindhi","","1","87","سنڌي, सिन्धी"
"h6h86f9d8f","","sne","Bidayuh, Bau","Bau Bidayuh, Bau-Jagoi, Jaggoi, Jagoi, Sarawak Dayak","","L","","Bidayuh, Bau [sne]","","Bau Bidayuh","micro","","Bidayuh, Bau","","1","67",""
"7ha9caabg9","","snf","Noon","Non, None, Serer, Serer-Noon","","L","","Noon [snf]","","Noon","micro","","Noon","","1","87","Noon"
"d5d36d62d7","","sng","Sanga","Garengaze, Kiluba, Kisanga, Luba-Garenganze, Luba-Sanga, Sanga (Democratic Republic of Congo), Southern Luba","","L","","Sanga [sng]","","Sanga","micro","","Sanga","","1","83","Kisanga"
"aebbeg558d","","snh","Shinabo","","","R","","Shinabo [snh]","","Shinabo","micro","","Shinabo","The language is nonexistent.","0","67",""
"744hdcae6d","","sni","Sensi","Mananahua, Senti, Tenti","","X","","Sensi [sni]","","Sensi","micro","","Sensi","","1","67",""
"8729e52d92","","snj","Sango, Riverain","Riverain Sango","","L","","Sango, Riverain [snj]","","Riverain Sango","micro","","Sango, Riverain","","1","83",""
"4d2dh2392g","","snk","Soninke","Aswanek, Aswanik, Azer, Ceddo, Cheddo, Gangara, Genger, Kwara, Maraka, Marka, Markaajo, Markakan, Sarakole, Sarakolle, Sarakule, Sarakulle, Sarangkole, Sarangkolle, Saraxuli, Sebbe, Serahule, Serecole, Soninkanxanne, Sooninkanxanne, Sooninke, Wakkore, Wa","","L","","Soninke [snk]","","Soninke","micro","SNK","Soninke","","1","87","Sooninkanxanne"
"e9deaacb89","","snl","Sangil","Sanggil, Sangihé, Sangirese, Sangiré","","L","","Sangil [snl]","","Sangil","micro","","Sangil","","1","83","Sangiré"
"b7ae9b432a","","snm","Ma’di, Southern","Ma’di Urule, Southern Ma'di","","L","","Ma’di, Southern [snm]","","Southern Ma’di","micro","","Ma’di, Southern","","1","67","Ma'di Urule"
"g7f8cfh8c7","","snn","Siona","Baicoca, Ceona, Ganteya, Ganteya bain, Gantëya coca, Kanú, Koka, Kokakañú, Pai Coca, Pioche-Sioni, Piohé, Pioje, Pioje-Sioni, Siona-Secoya, Sioni, Zeona","","L","","Siona [snn]","","Siona","micro","","Siona","","1","83","Gantëya coca"
"5h3752eg9d","","sno","Snohomish","","","L","","Snohomish [sno]","","Snohomish","micro","","Snohomish","","1","67",""
"age798da37","","snp","Siane","Siani, Siyane","","L","","Siane [snp]","","Siane","micro","","Siane","","1","83",""
"aa2dd9b34e","","snq","Sangu","Chango, Isangu, Sangu (Gabon), Shango, Yisangou, Yisangu","","L","","Sangu [snq]","","Sangu","micro","","Sangu","","1","67",""
"hg5d48a83h","","snr","Sihan","","","L","","Sihan [snr]","","Sihan","micro","","Sihan","","1","67",""
"56efbhbfgc","","sns","Nahavaq","Labo, Lamangkau, Nahapa, Na’ahai, Seniang, Sinesip, South West Bay","","L","","Nahavaq [sns]","","Nahavaq","micro","","Nahavaq","","1","67",""
"d6f64b673a","","snu","Viid","Senggi","","L","","Viid [snu]","","Viid","micro","","Viid","","1","67",""
"e42ad59baf","","snv","Sa’ban","Berau, Braow, Sa'ban","","L","","Sa’ban [snv]","","Sa’ban","micro","","Sa’ban","","1","67",""
"9522af44b8","","snw","Selee","Bale, Santrokofi, Sele, Sentrokofi","","L","","Selee [snw]","","Selee","micro","","Selee","","1","83","Bale"
"ccdbf4cha4","","snx","Sam","Songum, Songumsam","","L","","Sam [snx]","","Sam","micro","","Sam","","1","67","Sam, Songumsam"
"h64799468a","","sny","Saniyo-Hiyewe","Hiyewe, Sanio-Hiowe","","L","","Saniyo-Hiyewe [sny]","","Saniyo-Hiyewe","micro","","Saniyo-Hiyewe","","1","83","Hiyewe"
"d48h62hf64","","snz","Kou","Asas, Kow, Sensauru, Sinsauru","","L","","Kou [snz]","","Kou","micro","","Kou","","1","67","Kou"
"df6e73a2ag","","soa","Thai Song","Chao Song, Lao Song, Lao Song Dam, Song, Tai Song Dam, Thai Soang","","L","","Thai Song [soa]","","Thai Song","micro","","Thai Song","","1","83",""
"7ha9g25hha","","sob","Sobei","Biga, Imasi, Liki","","L","","Sobei [sob]","","Sobei","micro","","Sobei","","1","67",""
"e2cbb66e7g","","soc","So","Eso, Gesogo, Heso, So (Democratic Republic of Congo), Soa, Soko","","L","","So [soc]","","So","micro","","So","","1","83",""
"2378533bc9","","sod","Songoora","Binja, Kesongola, Songola","","L","","Songoora [sod]","","Songoora","micro","","Songoora","","1","83",""
"caf897ea3d","","soe","Songomeno","Hendo, Lohendo","","L","","Songomeno [soe]","","Songomeno","micro","","Songomeno","","1","67",""
"3ef9fd6dg6","","soh","Aka","Fa-c-aka, Jebel Silak, Jebels Sillok, Sillok","","L","","Aka [soh]","","Aka","micro","","Aka","","1","67",""
"e7b7379c5a","","soi","Sonha","Sonaha, Sonahaa, Sunah, Sunha","","L","","Sonha [soi]","","Sonha","micro","","Sonha","","1","67",""
"b2d7h95ebh","","soj","Soi","","","L","","Soi [soj]","","Soi","micro","","Soi","","1","67",""
"hce2hh5eab","","sok","Sokoro","Soŋoroŋ","","L","","Sokoro [sok]","","Sokoro","micro","","Sokoro","","1","87","Soŋoroŋ"
"3c5e47ab4b","","sol","Solos","Sumoun, Toros","","L","","Solos [sol]","","Solos","micro","","Solos","","1","67","Sumoun"
"82hccc6g96","","som","Somali","Af-Maxaad Tiri, Af-Soomaali, Afka Soomaaliga, Common Somali, Soomaaliga, Standard Somali","","L","","Somali [som]","so","Somali","micro","SML","Somali","","1","83","Af-Soomaali, Afka Soomaaliga, Soomaali"
"649g32b9ce","","soo","Songo","Itsong, Kisongo, Nsong, Ntsuo, Tsong","","L","","Songo [soo]","","Songo","micro","","Songo","","1","67",""
